アドレス帳,"アドレスちょう
Sổ ghi địa chỉ"
登録 ,"とうろく
Đăng ký"
連絡先 ,"れんらくさき
Địa chỉ, thông tin liên lạc"
大事 ,"だいじ
Quan trọng"
情報資産 ,"じょうほうしさん
Tài sản thông tin"
無くす,"なくす
Làm mất"
盗む,"ぬすむ
Ăn cắp"
悪用 ,"あくよう
Lạm dụng"
対策 ,"たいさく
Biện pháp đối phó"
守る,"まもる
Giữ, tuân theo, bảo vệ"
機密性 ,"きみつせい
Tính bảo mật"
完全性 ,"かんぜんせい
Tính toàn vẹn"
可用性 ,"かようせい
Tính khả dụng"
維持する,"いじする
Duy trì"
不正,"ふせい
Bất hợp pháp"
第三者,"だいさんしゃ
Người thứ ba/bên thứ ba"
情報漏えい ,"じょうほうろうえい
Rò rỉ thông tin"
アクセス権,"アクセスけん
Quyền truy cập"
技術,"ぎじゅつ
Kỹ thuật"
暗号化,"あんごうか
Mã hoá"
向上 ,"こうじょう
Tăng cường, nâng cao"
書き換える,"かきかえる
Viết lại"
欠ける,"かける
Khuyết, thiếu"
改ざん,"かいざん
Giả mạo/Xuyên tạc"
脅かす,"おどかす
Uy hiếp, đe doạ (mang tính chất nhỏ, không nghiêm trọng lắm)
例：強盗はナイフで人を脅し、金を持って逃げた。"
脅かす,"おびやかす
Uy hiếp, đe doạ (hoà bình, an toàn người dân), mang tính chất lớn lao, nghiêm trọng hơn
例：・大国間の緊張が強まれば、平和が脅やかされる。
　　・犯罪が増え、市民の安全が脅かされる"
攻撃,"こうげき
Sự tấn công"
ディジタル署名 ,"ディジタルしょめい/
デジタルしょめい
Chữ ký điện tử"
定期 ,"ていき
Định kỳ"
真正性,"しんせいせい
Tính xác thực, chính chủ"
信頼性,"しんらいせい
Độ tin cậy"
責任追跡性,"せきにんついせきせい
Khả năng truy cứu trách nhiệm"
否認防止,"ひにんぼうし
Tính không thể chối bỏ"
加える,"くわえる
Thêm vào"
特性,"とくせい
Đặc tính"
定義する,"ていぎする
Định nghĩa"
振る舞い,"ふるまい
Hành xử, cư xử"
明確,"めいかく
Rõ ràng"
なりすまし,
偽情報,
本人認証,
意図する,
バグ,
故障する,
部品,
タイムスタンプサービス,
取引,
手続き,
時刻,
発行する,
記載する,
オリジナル,
得る,
比較する,
過去,
記録,
検証,
